Number,Name_Code,Lat,Long,Prefecture,County,# Shawn,# ETNAM,Tier,Distance to County Centre,Distance to Industrial Park,Watchtowers,Interior Fencing,External Wall,Have security features been added or removed,Security Features Changed,Security features changed when,Have recreational features been added or removed,Recreational features changed,Usage prior to 2017,Name,Organised visits,Other footage,Other Evidence,Eyewitness Accounts,Any signs of decomissioning,Decomissioning signs,Number of Buildings in 2017,Number of Buildings in 2018,Number of Buildings in 2019,Number of Buildings in 2020,Construction ongoing in 2019?,Construction ongoing in 2020?,Number of factories within the complex,Number of factories adjacent to the complex,Distance to residential buildings,Distance to pre-school (max 1km),Notes(tmp),Notes,Photos,Videos,Date of Latest Sat Imagery,Highlight,Desecuritisation
145,Fukang Facility #1,44.16408132,87.9529754,Sanji,Fukang,#N/A,P_SA10,4,3.97,6.5,1,0,1,0,,N/A,0,N/A,Prison,,,,,,0,N/A,5,5,5,5,0,0,0,0,0.5,N/A,,"A Tier 4 prison in Fukang, Sanji with watchtowers and an external wall. .",,,20-May,,0
146,Korla Facility #2,41.7198872,86.29103727,Bayingolun,Korla,#N/A,P_KO08,4,12.99,4,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,16,18,18,1,0,0,0,9.3,N/A,Part of a wider complex and near three other camps,"A Tier 4 prison in Korla, Bayingolun with watchtowers and an external wall. Part of a wider complex and near three other camps.",,,20-Jun,,0
147,Ghulja Facility #8,43.98322024,81.52673265,Ili,Ghulja,#N/A,#N/A,1,19.2,4.4,0,0,0,0,,N/A,0,N/A,,,,,,,0,N/A,5,5,5,5,0,0,1,0,0.6,N/A,Two factories removed in 2019,"A Tier 1 re-education facility in Ghulja, Ili. Two factories removed in 2019.",,,20-Apr,,0
148,Pichan Facility #2,42.97067308,90.38812394,Turpan,Pichan,#N/A,P_TU05,4,24.87,N/A,1,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,11,N/A,N/A,1,0,0,0,4.7,N/A,Room for expansion,"A Tier 4 prison in Pichan, Turpan with watchtowers and interior fencing and an external wall. Room for expansion.",,,18-Sep,,0
149,Ghulja Facility #9,44.00021951,81.53348011,Ili,Ghulja,57,C_GH10,1,19.47,6,0,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,3,5,5,5,0,0,2,0,1,N/A,Next to prison,"A Tier 1 re-education facility in Ghulja, Ili with an external wall. Next to prison.",,,20-May,,0
150,Shuimogou Facility #1,43.89045957,87.68392117,Urumqi,Shuimogou,#N/A,#N/A,1,10.07,0.7,0,0,0,0,,N/A,0,N/A,Factory,,,,,,0,N/A,7,7,10,10,1,0,10,4,3,N/A,,"A Tier 1 re-education facility in Shuimogou, Urumqi. .",,,20-Jun,,0
151,Onsu Facility #3,41.38191457,80.68354504,Aksu,Onsu,#N/A,#N/A,2,51.89,,0,1,1,,,,,,Barren,,,,,,,,,,,,0,1,,,,,,"A Tier 2 re-education facility in Onsu, Aksu with and interior fencing and an external wall. .",,,,,0
152,Kucha Facility #1,41.75397173,83.01942064,Aksu,Kucha,Additional,#N/A,2,8.35,0.6,0,0,1,1,an external wall is still under construction,2020,0,N/A,Farmland,,,,,,0,N/A,0,16,26,26,1,1,0,1,3.3,N/A,"Foundations are still  being built on the North-Eastern edge of the facility. It is co-located in a larger complex with several prisons, some of which are continuing to expand in 2020.","A Tier 2 re-education facility in Kucha, Aksu with an external wall.  Since it was completed, an external wall is still under construction.Foundations are still  being built on the North-Eastern edge of the facility. It is co-located in a larger complex with several prisons, some of which are continuing to expand in 2020.",,,20-May,1,0
153,Atush Facility #3,39.70239623,76.17587561,Kizilsu,Atush,#N/A,C_AR04,1,2.16,N/A,0,0,0,0,,N/A,0,N/A,Residential buildings,,,,,,0,N/A,N/A,17,17,N/A,0,0,1,2,1.2,N/A,Very close to residential buildings,"A Tier 1 re-education facility in Atush, Kizilsu. Very close to residential buildings.",,,19-Jun,,0
154,Qumul Facility #3,42.81150522,93.43365185,Qumul,Qumul,31,C_QU01,1,9.13,0.7,0,0,1,1,an external wall was expanded and interior fencing were removed,2018,0,N/A,,,,,,,0,N/A,9,18,18,18,0,1,5,0,2.8,N/A,"Construction is ongoing as of June 2020, possible vacated while this occurs.","A Tier 1 re-education facility in Qumul, Qumul with an external wall.  Since it was completed, an external wall was expanded and interior fencing were removed.Construction is ongoing as of June 2020, possible vacated while this occurs.",,,20-Apr,,1
155,Karashahar Facility #2,42.05849866,86.55326784,Bayingolun,Karashahar,#N/A,C_KO07,2,2.32,2.5,0,1,1,0,,N/A,0,N/A,Residential buildings,,,,,,0,N/A,N/A,8,16,N/A,1,0,3,0,1.7,N/A,,"A Tier 2 re-education facility in Karashahar, Bayingolun with and interior fencing and an external wall. .",,,19-Feb,,1
156,Yarkant Facility #10,38.41202059,77.14475054,Kashgar,Yarkant,43,C_QE29,2,11.25,0.7,1,1,1,1,an external wall was expanded,2018,0,N/A,Farmland,,,,,,0,N/A,5,6,6,6,0,0,9,0,1.5,N/A,,"A Tier 2 re-education facility in Yarkant, Kashgar with watchtowers and interior fencing and an external wall.  Since it was completed, an external wall was expanded..",,,20-Mar,,0
158,Qaba Facility #1,48.02137144,86.41717941,Altay,Qaba,#N/A,C_AL04,1,6.57,0.8,0,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,4,4,7,N/A,1,,2,0,1.7,N/A,Significant room for expansion,"A Tier 1 re-education facility in Qaba, Altay with and interior fencing and an external wall. Significant room for expansion.",,,19-Jun,,0
159,Korla Facility #3,41.71061435,86.28490512,Bayingolun,Korla,#N/A,P_KO06,2,12.49,3.5,0,1,1,1,an external wall was expanded,2ndHf2019,0,N/A,Camp,,,,,,0,N/A,13,15,15,15,0,1,0,0,9,N/A,Significant room for expansion,"A Tier 2 re-education facility in Korla, Bayingolun with and interior fencing and an external wall.  Since it was completed, an external wall was expanded.Significant room for expansion.",,,20-Jun,,0
160,Ulughchat Facility #1,39.70993821,75.18464223,Kizilsu,Ulughchat,#N/A,#N/A,2,8.41,3,0,0,1,1,an external wall was built,2019,0,N/A,Farmland,,,,,,0,N/A,N/A,N/A,8,N/A,0,1,0,3,0.4,N/A,,"A Tier 2 re-education facility in Ulughchat, Kizilsu with an external wall.  Since it was completed, an external wall was built..",,,19-Nov,,0
161,Akto Facility #1,39.14165551,75.94423353,Kizilsu,Akto,#N/A,P_AR07,4,0.95,N/A,1,0,1,0,,N/A,0,N/A,Prison,,,,,,0,N/A,7,7,7,7,0,0,0,0,0.7,N/A,,"A Tier 4 prison in Akto, Kizilsu with watchtowers and an external wall. .",,,20-Mar,,0
162,Korla Facility #4,41.71597614,86.28359138,Bayingolun,Korla,#N/A,P_KO05,3,12.22,4,1,0,1,1,an external wall was expanded and some interior fencing were removed,2017,0,N/A,Camp,,,,,,0,N/A,21,30,30,33,0,1,0,0,8.9,N/A,,"A Tier 3 detention centre in Korla, Bayingolun with watchtowers and an external wall.  Since it was completed, an external wall was expanded and some interior fencing were removed..",,,20-Jun,,0
163,Yengisar Facility #2,38.96078608,76.1565627,Kashgar,Yengisar,68,C_QE15,2,4.85,,0,1,1,,,,,,,,,,,,,,,,,20,0,0,,,,,,"A Tier 2 re-education facility in Yengisar, Kashgar with and interior fencing and an external wall. .",,,,,0
164,Lopnur Facility #1,41.35700082,86.24626397,Bayingolun,Lopnur,#N/A,P_KO09,3,2.56,0.5,1,0,1,0,,N/A,0,N/A,Camp,,,,,,0,N/A,N/A,N/A,9,9,0,0,0,0,0.6,N/A,,"A Tier 3 detention centre in Lopnur, Bayingolun with watchtowers and an external wall. .",,,20-Jun,,0
165,Ghulja City Facility #4,43.89872078,81.30646394,Ili,Ghulja City,#N/A,C_GH01,1,19.45,0.6,0,0,1,0,,N/A,0,N/A,School,,,,,,0,N/A,5,7,4,5,0,0,0,0,0.3,N/A,,"A Tier 1 re-education facility in Ghulja City, Ili with an external wall. .",,,20-May,,1
166,Koktogay Facility #2,47.00019633,89.49996236,Altay,Koktogay,#N/A,C_AL05,2,3.01,0.2,0,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,1,N/A,0,1,1,1,0.8,N/A,This facility only has one building,"A Tier 2 re-education facility in Koktogay, Altay with an external wall. This facility only has one building.",,,19-Jun,,0
167,Sanji Facility #7,44.31952771,87.43255576,Sanji,Sanji,#N/A,P_SA04,3,26.75,1.9,1,0,1,1,some interior fencing was added,2020,0,N/A,Barren,,,,,,0,N/A,10,10,10,10,0,0,7,0,2.9,N/A,,"A Tier 3 detention centre in Sanji, Sanji with watchtowers and an external wall.  Since it was completed, some interior fencing was added..",,,20-Apr,,0
168,Atush Facility #4,39.73253948,75.99434511,Kizilsu,Atush,#N/A,P_AR05,3,19.52,N/A,1,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,17,29,29,N/A,0,1,0,0,14.5,N/A,"This is extremely isolated, with a road that seems exlusively built to take to the camp.","A Tier 3 detention centre in Atush, Kizilsu with watchtowers and interior fencing and an external wall. This is extremely isolated, with a road that seems exlusively built to take to the camp.",,,19-Jun,1,0
169,Kucha Facility #2,41.75131199,83.02037372,Aksu,Kucha,Additional,C_AQ16,4,8.19,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,Construction began to expand one prison complex in this facility in May 2020. ,"A Tier 4 prison in Kucha, Aksu. Construction began to expand one prison complex in this facility in May 2020. .",,,,,0
170,Chira Facility #2,36.96449223,80.8132342,Hotan,Chira,62,C_HO21,1,4.78,0.2,0,0,1,1,some of the external walls were removed and replaced with fences.,1stHf2019,0,N/A,Residential buildings,,,,,,0,N/A,9,9,9,N/A,0,0,5,11,1.4,N/A,Next to another tier 1 camp,"A Tier 1 re-education facility in Chira, Hotan with an external wall.  Since it was completed, some of the external walls were removed and replaced with fences..Next to another tier 1 camp.",,,19-Nov,,1
171,Korla Facility #5,41.73627321,86.13589819,Bayingolun,Korla,#N/A,C_KO03,1,4.58,2.1,0,1,1,1,some internal fencing was removed,2020,0,N/A,Factory,,,,,,0,N/A,2,2,2,2,0,0,7,0,1,N/A,,"A Tier 1 re-education facility in Korla, Bayingolun with and interior fencing and an external wall.  Since it was completed, some internal fencing was removed..",,,20-Jun,,1
172,Chaghantoqay Facility #1,46.21487782,82.99046634,Tarbaghatay,Chaghantoqay,#N/A,C_CH03,1,2.38,0.4,0,1,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,N/A,1,1,1,0,0,1,8,1,N/A,,"A Tier 1 re-education facility in Chaghantoqay, Tarbaghatay with and interior fencing and an external wall. .",,,20-Mar,,0
173,Tumshuq Facility #4,39.85370553,79.02317332,Tumshuq,Tumshuq,#N/A,C_QE41,2,5.39,0.4,1,1,1,0,,N/A,0,N/A,Factory,,,,,,0,N/A,3,N/A,3,N/A,0,0,5,10,0.5,N/A,,"A Tier 2 re-education facility in Tumshuq, Tumshuq with watchtowers and interior fencing and an external wall. .",,,19-Jun,,0
174,Mekit Facility #2,38.8803317,77.65682301,Kashgar,Mekit,75,#N/A,1,3.55,0.9,0,1,1,0,,N/A,0,N/A,Factory,,,,,,0,N/A,N/A,14,15,16,1,0,15,2,0.9,N/A,More factories are probably being built within the camp,"A Tier 1 re-education facility in Mekit, Kashgar with and interior fencing and an external wall. More factories are probably being built within the camp.",,,20-Mar,,0
175,Maytagh Facility #1,44.33169154,84.82192779,Karamay,Maytagh,79,P_QA06,4,7.26,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,"Nearby Prison (44.317847, 84.890088) was demolished in June 2019, shortly after this prison expanded","A Tier 4 prison in Maytagh, Karamay. Nearby Prison (44.317847, 84.890088) was demolished in June 2019, shortly after this prison expanded.",,,,,0
176,Akto Facility #2,39.11663237,75.92358497,Kizilsu,Akto,#N/A,C_AR06,2,5.2,2.3,0,1,1,1,an external wall was expanded,2018,0,N/A,Barren,,,,,,0,N/A,10,12,16,16,1,0,0,7,0.6,N/A,Seems like an extension is under construction on the south-eastern side,"A Tier 2 re-education facility in Akto, Kizilsu with and interior fencing and an external wall.  Since it was completed, an external wall was expanded.Seems like an extension is under construction on the south-eastern side.",,,20-Mar,,0
177,Uchturpan Facility #3,41.20786296,79.20342138,Aksu,Uchturpan,#N/A,P_AQ11,4,3.18,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,"A Tier 4 prison in Uchturpan, Aksu. .",,,,,0
178,Shihu Facility #2,44.37391475,84.76287837,Tarbaghatay,Shihu,#N/A,C_CH09,2,13.43,5.5,0,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,4,6,6,1,0,3,0,5.2,N/A,Next to a prison,"A Tier 2 re-education facility in Shihu, Tarbaghatay with and interior fencing and an external wall. Next to a prison.",,,20-Jun,,0
179,Sanji Facility #8,44.17554266,87.19886836,Sanji,Sanji,#N/A,C_SA05,2,27.76,1,1,1,1,1,an external wall has been extended and some older segments were removed,2ndHf2017,0,N/A,Camp,,,,,,0,N/A,18,24,28,28,1,1,5,7,3.3,N/A,,"A Tier 2 re-education facility in Sanji, Sanji with watchtowers and interior fencing and an external wall.  Since it was completed, an external wall has been extended and some older segments were removed..",,,20-Apr,,0
180,Jing Facility #2,44.54522487,82.91577602,Bortala,Jing,#N/A,P_BO05,4,8.95,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,"A Tier 4 prison in Jing, Bortala. .",,,,,0
181,Beitun Facility #1,47.32878166,87.78578446,Beitun,Beitun,#N/A,P_AL04,4,5.74,1.1,1,1,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,N/A,N/A,3,N/A,0,1,0,0,1.2,N/A,,"A Tier 4 prison in Beitun, Beitun with watchtowers and interior fencing and an external wall. .",,,19-Jun,,0
182,Maralbeshi Facility #3,39.81883913,78.51801624,Kashgar,Maralbeshi,41,C_QE20,2,6,0.6,1,1,1,1,parts of external wall and watchtower were removed,2019,0,N/A,Barren,,,,,,0,N/A,0,23,34,34,1,0,16,30,1.7,N/A,,"A Tier 2 re-education facility in Maralbeshi, Kashgar with watchtowers and interior fencing and an external wall.  Since it was completed, parts of external wall and watchtower were removed..",,,20-May,,1
183,Kucha Facility #3,41.73124196,83.0081594,Aksu,Kucha,34,C_AQ15,2,5.51,1.5,0,0,1,1,parts of external wall were removed,2018,0,N/A,Barren,,,,,,0,N/A,14,14,16,16,1,0,0,0,2.8,N/A,,"A Tier 2 re-education facility in Kucha, Aksu with an external wall.  Since it was completed, parts of external wall were removed..",,,20-Jul,,1
184,Yarkant Facility #11,38.46039684,77.46711411,Kashgar,Yarkant,48,C_QE25,1,25.5,N/A,0,1,1,1,external walls were added,2019,0,N/A,Farmland,,,,,,0,N/A,N/A,10,12,N/A,1,0,8,0,0.9,N/A,,"A Tier 1 re-education facility in Yarkant, Kashgar with and interior fencing and an external wall.  Since it was completed, external walls were added..",,,19-Nov,,0
185,Uchturpan Facility #4,41.21006489,79.20243171,Aksu,Uchturpan,#N/A,C_AQ08,2,3.06,0.3,0,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,N/A,N/A,5,N/A,0,0,4,0,0.5,N/A,,"A Tier 2 re-education facility in Uchturpan, Aksu with an external wall. .",,,19-Jul,,0
186,Kargilik Facility #5,37.85102568,77.43714364,Kashgar,Kargilik,20,C_QE38,1,5.2,1.2,0,0,1,0,,N/A,0,N/A,Residential buildings,,,,,,0,N/A,27,29,38,38,1,0,7,0,0.4,N/A,,"A Tier 1 re-education facility in Kargilik, Kashgar with an external wall. .",,,19-Nov,,0
187,Beitun Facility #2,47.32819886,87.78686724,Beitun,Beitun,#N/A,C_AL02,4,5.64,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,"A Tier 4 prison in Beitun, Beitun. .",,,,,0
188,Toutunhe Facility #1,43.80674071,87.29637187,Urumqi,Toutunhe,#N/A,C_UR04,2,18.3,2.3,0,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,14,20,20,1,1,0,1,13.2,N/A,,"A Tier 2 re-education facility in Toutunhe, Urumqi with an external wall. .",,,20-Jun,,0
189,Lop Facility #5,37.10353984,80.17978593,Hotan,Lop,54,C_HO09,2,4.29,2.7,0,1,1,1,"parts of external wall, internal fencing and watchtowers were removed",2020,1,Basketball court,Farmland,,,,,,1,Some buildings were removed,16,N/A,16,12,0,0,8,0,1,N/A,,"A Tier 2 re-education facility in Lop, Hotan with and interior fencing and an external wall.  Since it was completed, parts of external wall, internal fencing and watchtowers were removed..",,,21-Jun,,1
190,Baghrash Facility #1,41.97576455,86.60957172,Bayingolun,Baghrash,#N/A,C_KO06,2,2.58,N/A,0,1,1,1,some internal fencing were removed from outside residential buildings,2019,0,N/A,Farmland,N/A,None known,None Known,None known,None Known,0,N/A,0,3,8,8,1,0,0,0,0.1,N/A,,"A Tier 2 re-education facility in Baghrash, Bayingolun with and interior fencing and an external wall.  Since it was completed, some internal fencing were removed from outside residential buildings..",,,20-Feb,,1
191,Shihu Facility #3,44.42109533,84.67007084,Tarbaghatay,Shihu,52,C_CH07,1,2.44,1.9,0,0,1,1,some internal fencing was removed,2020,0,N/A,?,,,,,,0,N/A,5,7,7,7,0,0,0,0,0.3,N/A,,"A Tier 1 re-education facility in Shihu, Tarbaghatay with an external wall.  Since it was completed, some internal fencing was removed..",,,20-Jun,1,1
192,Karakash Facility #5,37.23311776,79.32337655,Hotan,Karakash,#N/A,#N/A,3,45.55,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,"A Tier 3 detention centre in Karakash, Hotan. .",,,,,0
193,Yengisheher Facility #3,39.3563889,76.05423889,Kashgar,Yengisheher,3,#N/A,2,6.52,0.5,0,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,0,20,20,1,0,6,0,1.5,N/A,,"A Tier 2 re-education facility in Yengisheher, Kashgar with an external wall. .",,,20-May,,0
195,Kunes Facility #1,43.46331908,83.27981154,Ili,Kunes,#N/A,P_GH17,4,5.54,0.9,1,1,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,N/A,N/A,12,N/A,0,1,0,0,1.8,N/A,,"A Tier 4 prison in Kunes, Ili with watchtowers and interior fencing and an external wall. .",,,19-Jul,,0
196,Bugur Facility #2,41.80807689,84.29527688,Bayingolun,Bugur,#N/A,P_KO11,4,6.6,0.4,1,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,22,N/A,0,0,0,8,2.9,N/A,,"A Tier 4 prison in Bugur, Bayingolun with watchtowers and interior fencing and an external wall. .",,,19-Jun,,0
197,Kunes Facility #2,43.43920396,82.74649039,Ili,Kunes,#N/A,#N/A,3,57.27,N/A,1,0,1,0,,N/A,0,N/A,?,,,,,,0,N/A,N/A,N/A,12,N/A,0,0,3,0,0.2,N/A,,"A Tier 3 detention centre in Kunes, Ili with watchtowers and an external wall. .",,,19-Apr,1,0
198,Akto Facility #3,39.24734241,76.01543922,Kizilsu,Akto,#N/A,C_AR10,2,16.18,1.6,0,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,3,4,4,N/A,0,0,3,10,4.4,N/A,,"A Tier 2 re-education facility in Akto, Kizilsu with an external wall. .",,,19-Nov,,1
199,Karakash Facility #6,37.25898355,79.74813182,Hotan,Karakash,90,C_HO15,1,3.34,2.6,0,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,19,20,20,20,0,0,4,0,0.3,N/A,Massive space with uneven internal fencing,"A Tier 1 re-education facility in Karakash, Hotan with and interior fencing and an external wall. Massive space with uneven internal fencing.",,,20-Jul,,0
200,Lopnur Facility #2,41.37343864,86.31874698,Bayingolun,Lopnur,88,C_KO04,1,7.75,1.3,0,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,20,20,0,0,3,3,4.4,N/A,,"A Tier 1 re-education facility in Lopnur, Bayingolun with an external wall. .",,,20-Jun,,0
201,Cherchen Facility #4,38.14423377,85.5206446,Bayingolun,Cherchen,#N/A,#N/A,2,1.02,N/A,0,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,9,9,10,10,1,0,1,0,0.6,N/A,,"A Tier 2 re-education facility in Cherchen, Bayingolun with an external wall. .",,,20-Mar,,0
202,Baghrash Facility #2,41.97576455,86.60957172,Bayingolun,Baghrash,#N/A,#N/A,2,2.58,0.2,0,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,5,6,N/A,1,0,0,1,0.6,N/A,,"A Tier 2 re-education facility in Baghrash, Bayingolun with an external wall. .",,,19-Feb,,1
203,Hotan County Facility #5,37.25067043,79.85286289,Hotan,Hotan County,#N/A,#N/A,4,14.3,0.5,1,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,0,16,16,1,0,0,10,2.4,N/A,,"A Tier 4 prison in Hotan County, Hotan with watchtowers and interior fencing and an external wall. .",,,20-Jul,,0
204,Konasheher Facility #4,39.47164444,75.69865332,Kashgar,Konasheher,#N/A,P_QE05,3,22.97,1.6,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,26,34,37,37,1,0,2,0,2,N/A,,"A Tier 3 detention centre in Konasheher, Kashgar with watchtowers and an external wall. .",,,20-Jun,,0
205,Hotan County Facility #6,37.23583884,79.8365304,Hotan,Hotan County,Additional,C_HO07,2,13.32,1.3,0,1,1,0,,N/A,1,Running track/soccer field,Barren,,,,,,0,N/A,0,0,50,50,1,0,20,2,2,N/A,,"A Tier 2 re-education facility in Hotan County, Hotan with and interior fencing and an external wall. .",,,20-Jul,,0
206,Maralbeshi Facility #4,39.87596016,78.66046499,Kashgar,Maralbeshi,#N/A,P_QE15,4,18.07,N/A,1,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,21,21,0,0,0,1,1.9,0.16,,"A Tier 4 prison in Maralbeshi, Kashgar with watchtowers and interior fencing and an external wall. .",,,20-May,,0
207,Yengisheher Facility #4,39.41080215,76.13295228,Kashgar,Yengisheher,40,C_QE10,1,9.54,N/A,0,0,1,0,,N/A,0,N/A,?,,,,,,0,N/A,11,24,23,23,0,0,9,0,0.3,N/A,One of the factories was removed,"A Tier 1 re-education facility in Yengisheher, Kashgar with an external wall. One of the factories was removed.",,,20-May,1,1
208,Yarkant Facility #12,38.35644215,77.26435991,Kashgar,Yarkant,#N/A,C_QE27,3,8.46,N/A,1,0,1,0,,N/A,1,Basketball courts,Farmland,,,,,,0,N/A,22,22,32,32,1,0,10,0,0.7,N/A,,"A Tier 3 detention centre in Yarkant, Kashgar with watchtowers and an external wall. .",,,20-Mar,,0
209,Chapchal Facility #5,43.80660373,81.15573905,Ili,Chapchal,#N/A,P_GH08,4,5.29,0.9,1,1,1,0,,N/A,0,N/A,Prison?,,,,,,0,N/A,28,28,28,28,0,0,9,9,1.7,N/A,,"A Tier 4 prison in Chapchal, Ili with watchtowers and interior fencing and an external wall. .",,,20-Mar,1,0
210,Peyziwat Facility #4,39.53819182,76.71408533,Kashgar,Peyziwat,8,C_QE19,2,7.3,1.5,0,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,28,28,28,28,0,0,0,6,0.7,N/A,,"A Tier 2 re-education facility in Peyziwat, Kashgar with an external wall. .",,,20-May,,0
211,Hotan City Facility #4,37.16393357,79.86494436,Hotan,Hotan City,30,P_HO02,4,7.98,2,1,1,1,0,,N/A,0,N/A,Prison,,,,,,0,N/A,20,20,20,20,0,0,0,12,0.3,N/A,,"A Tier 4 prison in Hotan City, Hotan with watchtowers and interior fencing and an external wall. .",,,20-Jul,,0
212,Ghulja City Facility #5,43.90299716,81.38805491,Ili,Ghulja City,#N/A,P_GH01,4,28.05,0.5,1,1,1,0,,N/A,0,N/A,Prison,,,,,,0,N/A,14,14,14,14,0,0,0,8,0.5,N/A,,"A Tier 4 prison in Ghulja City, Ili with watchtowers and interior fencing and an external wall. .",,,20-May,,0
213,Shayar Facility #3,41.19235411,82.73927354,Aksu,Shayar,72,#N/A,1,6.42,0.6,0,0,1,1,some internal fencing were removed,N/A,0,N/A,Farmland,,,,,,0,N/A,5,9,9,N/A,0,1,5,10,2.1,N/A,,"A Tier 1 re-education facility in Shayar, Aksu with an external wall.  Since it was completed, some internal fencing were removed..",,,19-Oct,,0
214,Cherchen Facility #5,38.10124096,85.57872241,Bayingolun,Cherchen,#N/A,P_KO19,4,8.31,0.4,1,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,0,14,14,14,0,0,0,4,1.1,N/A,,"A Tier 4 prison in Cherchen, Bayingolun with watchtowers and an external wall. .",,,20-Mar,,0
215,Bay Facility #2,41.77062157,81.82106194,Aksu,Bay,#N/A,C_AQ13,2,7.09,0.2,0,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,18,N/A,0,0,0,9,1.5,N/A,,"A Tier 2 re-education facility in Bay, Aksu with and interior fencing and an external wall. .",,,19-Jun,1,0
216,Bay Facility #3,41.771616,81.82372,Aksu,Bay,,,4,7.09,0.4,1,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,6,N/A,8,N/A,0,0,0,12,1.8,N/A,,"A Tier 4 prison in Bay, Aksu with watchtowers and interior fencing and an external wall. .",,,19-Jun,,0
217,Onsu Facility #4,41.08193966,80.40663432,Aksu,Onsu,#N/A,P_AQ09,3,20.36,3.2,1,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,0,40,13,16,0,1,2,0,14,N/A,A significant number of small factories were removed,"A Tier 3 detention centre in Onsu, Aksu with watchtowers and an external wall. A significant number of small factories were removed.",,,19-Oct,,0
218,Manas Facility #1,44.32921353,86.1603548,Sanji,Manas,85,P_SA09,4,7.15,2.4,1,1,1,0,,N/A,1,Basketball court,Barren,,,,,,0,N/A,0,9,9,N/A,0,0,0,0,1.4,N/A,,"A Tier 4 prison in Manas, Sanji with watchtowers and interior fencing and an external wall. .",,,19-Oct,,0
219,Shihu Facility #4,44.44861579,84.72632247,Tarbaghatay,Shihu,#N/A,C_CH10,3,5.7,0.2,0,1,1,1,a small segment of internal fencing was removed to connect with another area of land,N/A,0,N/A,Barren,,,,,,0,N/A,2,4,4,4,0,0,0,4,2,N/A,,"A Tier 3 detention centre in Shihu, Tarbaghatay with and interior fencing and an external wall.  Since it was completed, a small segment of internal fencing was removed to connect with another area of land..",,,20-Jul,,0
220,Kelpin Facility #2,40.49278434,79.0718593,Aksu,Kelpin,#N/A,#N/A,4,3.56,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,"A Tier 4 prison in Kelpin, Aksu. .",,,,1,0
221,Kuytun Facility #2,44.45083115,84.96497096,Ili,Kuytun,#N/A,P_KU02,4,7.84,0.4,1,1,1,0,,N/A,1,Basketball court,Prison,,,,,,0,N/A,18,18,18,18,0,0,7,8,2.8,N/A,,"A Tier 4 prison in Kuytun, Ili with watchtowers and interior fencing and an external wall. .",,,20-Jun,,0
222,Turpan Facility #5,42.96110406,89.21706753,Turpan,Turpan,36,C_TU04,1,4.5,1.3,0,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,23,27,27,1,0,1,3,0.3,N/A,,"A Tier 1 re-education facility in Turpan, Turpan with and interior fencing and an external wall. .",,,20-Jul,,0
223,Yopurgha Facility #2,39.21748238,76.84591428,Kashgar,Yopurgha,#N/A,P_QE11,4,8.16,0.4,1,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,18,N/A,0,0,0,18,1,N/A,,"A Tier 4 prison in Yopurgha, Kashgar with watchtowers and interior fencing and an external wall. .",,,19-Jul,,0
224,Atush Facility #5,39.64172502,75.99471945,Kizilsu,Atush,1,C_AR01,2,22.13,0.5,0,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,18,60,60,N/A,0,0,44,0,1.8,N/A,,"A Tier 2 re-education facility in Atush, Kizilsu with and interior fencing and an external wall. .",,,19-Jun,,0
